FIPS,CTYNAME,abbrv,state,county,ID,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45001,Abbeville County,SC,SC,Abbeville,0,0.629,0.346,10724,6742,3712,0.661,0.33,12433,8215,4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22001,Acadia Parish,LA,LA,Acadia,1,0.773,0.206,27386,21159,5638,0.795,0.191,28425,22596,5443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51001,Accomack County,VA,VA,Accomack,2,0.545,0.428,15755,8582,6737,0.542,0.447,16938,9172,7578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16001,Ada County,ID,ID,Ada,3,0.479,0.387,195587,93748,75676,0.504,0.465,259389,130699,120539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19001,Adair County,IA,IA,Adair,4,0.653,0.3,3759,2456,1127,0.697,0.286,4183,2917,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21001,Adair County,KY,KY,Adair,5,0.806,0.161,8231,6637,1323,0.83,0.159,8766,7275,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29001,Adair County,MO,MO,Adair,6,0.594,0.345,10137,6019,3495,0.618,0.358,10337,6391,3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001,Adair County,OK,OK,Adair,7,0.735,0.212,6468,4753,1374,0.786,0.195,7108,5585,1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8001,Adams County,CO,CO,Adams,8,0.421,0.494,175125,73807,86471,0.404,0.567,234599,94874,132951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19003,Adams County,IA,IA,Adams,9,0.669,0.271,2082,1393,565,0.708,0.273,2158,1528,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,Adams County,ID,ID,Adams,10,0.713,0.19,2183,1556,415,0.751,0.229,2586,1941,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17001,Adams County,IL,IL,Adams,11,0.716,0.24,31770,22732,7633,0.722,0.256,33434,24131,8569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18001,Adams County,IN,IN,Adams,12,0.739,0.215,13039,9642,2802,0.75,0.227,14238,10685,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28001,Adams County,MS,MS,Adams,13,0.42,0.567,12214,5125,6921,0.426,0.564,12268,5222,6914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38001,Adams County,ND,ND,Adams,14,0.75,0.179,1206,904,216,0.773,0.203,1269,981,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31001,Adams County,NE,NE,Adams,15,0.699,0.248,13172,9205,3272,0.691,0.289,14602,10085,4213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39001,Adams County,OH,OH,Adams,16,0.763,0.207,11063,8445,2293,0.811,0.179,11905,9660,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42001,Adams County,PA,PA,Adams,17,0.663,0.299,47138,31249,14077,0.663,0.322,56627,37563,18250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53001,Adams County,WA,WA,Adams,18,0.671,0.274,4081,2740,1118,0.675,0.306,5109,3449,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55001,Adams County,WI,WI,Adams,19,0.592,0.374,10107,5983,3780,0.623,0.366,11818,7362,4329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,Addison County,VT,VT,Addison,20,0.301,0.638,17592,5297,11217,0.436,0.511,870,379,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45003,Aiken County,SC,SC,Aiken,21,0.615,0.34,74773,45981,25426,0.606,0.379,85185,51589,32275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27001,Aitkin County,MN,MN,Aitkin,22,0.601,0.341,9185,5516,3134,0.625,0.36,10010,6258,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12001,Alachua County,FL,FL,Alachua,23,0.364,0.59,127827,46584,75370,0.356,0.627,142784,50891,89527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37001,Alamance County,NC,NC,Alamance,24,0.552,0.423,69264,38235,29268,0.537,0.451,84710,45490,38186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,Alameda County,CA,CA,Alameda,25,0.151,0.795,424517,64010,337524,0.176,0.804,750128,131985,602851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8003,Alamosa County,CO,CO,Alamosa,26,0.439,0.459,6897,3031,3168,0.489,0.482,7519,3676,3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36001,Albany County,NY,NY,Albany,27,0.352,0.595,125644,44227,74775,0.375,0.602,121529,45570,73189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56001,Albany County,WY,WY,Albany,28,0.463,0.419,16420,7601,6888,0.461,0.488,18617,8579,9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51003,Albemarle County,VA,VA,Albemarle,29,0.343,0.593,56134,19232,33297,0.324,0.661,64284,20804,42466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26001,Alcona County,MI,MI,Alcona,30,0.68,0.28,6179,4201,1732,0.686,0.303,7063,4848,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28003,Alcorn County,MS,MS,Alcorn,31,0.799,0.182,14781,11817,2684,0.811,0.175,15639,12689,2741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Aleutians East Borough,AK,AK,Aleutians East Borough,4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Aleutians West Census Area,AK,AK,Aleutians West Census Area,4926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17003,Alexander County,IL,IL,Alexander,32,0.53,0.448,2820,1496,1262,0.543,0.448,5631,3056,2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003,Alexander County,NC,NC,Alexander,33,0.768,0.208,18011,13826,3750,0.786,0.204,20120,15806,4113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51510,Alexandria city,VA,VA,Alexandria city,34,0.178,0.768,74384,13241,57147,0.178,0.81,81806,14544,66240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40003,Alfalfa County,OK,OK,Alfalfa,35,0.856,0.096,2256,1931,216,0.874,0.103,2262,1978,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26003,Alger County,MI,MI,Alger,36,0.573,0.368,4513,2585,1663,0.587,0.4,5135,3014,2053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19005,Allamakee County,IA,IA,Allamakee,37,0.596,0.352,6837,4072,2409,0.635,0.345,7459,4733,2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26005,Allegan County,MI,MI,Allegan,38,0.613,0.325,55153,33812,17932,0.616,0.364,67182,41381,24447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24001,Allegany County,MD,MD,Allegany,39,0.72,0.24,27804,20025,6665,0.694,0.291,29130,20213,8464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36003,Allegany County,NY,NY,Allegany,40,0.684,0.261,17111,11712,4473,0.734,0.242,17271,12670,4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37005,Alleghany County,NC,NC,Alleghany,41,0.727,0.249,5214,3789,1300,0.745,0.245,6040,4501,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51005,Alleghany County,VA,VA,Alleghany,42,0.667,0.296,7306,4873,2165,0.715,0.274,8191,5859,2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42003,Allegheny County,PA,PA,Allegheny,43,0.4,0.564,643173,257488,363017,0.39,0.595,707837,275955,421004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18003,Allen County,IN,IN,Allen,44,0.575,0.379,145787,83801,55222,0.544,0.431,168964,91885,72825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,Allen County,KS,KS,Allen,45,0.673,0.263,5314,3575,1398,0.711,0.267,5842,4155,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21003,Allen County,KY,KY,Allen,46,0.799,0.167,8091,6466,1349,0.81,0.175,9363,7586,1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39003,Allen County,OH,OH,Allen,47,0.669,0.287,44636,29858,12815,0.691,0.294,46362,32052,13611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22003,Allen Parish,LA,LA,Allen,48,0.743,0.228,9245,6867,2106,0.772,0.215,9810,7574,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45005,Allendale County,SC,SC,Allendale,49,0.22,0.761,3578,788,2722,0.232,0.756,3593,835,2718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26007,Alpena County,MI,MI,Alpena,50,0.619,0.332,14688,9090,4877,0.63,0.354,16966,10686,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,Alpine County,CA,CA,Alpine,51,0.367,0.553,575,211,318,0.323,0.643,736,238,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,Amador County,CA,CA,Amador,52,0.604,0.34,10049,6069,3420,0.609,0.366,22282,13571,8147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51007,Amelia County,VA,VA,Amelia,53,0.669,0.306,7035,4704,2150,0.684,0.306,7881,5390,2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51009,Amherst County,VA,VA,Amherst,54,0.636,0.329,15164,9643,4986,0.622,0.32,17719,11020,5673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28005,Amite County,MS,MS,Amite,55,0.609,0.382,7033,4282,2688,0.633,0.354,5974,3781,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Anchorage Municipality,AK,AK,Anchorage Municipality,4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,Anderson County,KS,KS,Anderson,56,0.728,0.203,3277,2386,665,0.773,0.206,3720,2874,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21005,Anderson County,KY,KY,Anderson,57,0.722,0.231,11420,8242,2634,0.728,0.252,13261,9651,3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45007,Anderson County,SC,SC,Anderson,58,0.699,0.262,80296,56109,21040,0.703,0.283,96093,67565,27169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47001,Anderson County,TN,TN,Anderson,59,0.646,0.303,29723,19201,9010,0.652,0.33,35527,23163,11733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48001,Anderson County,TX,TX,Anderson,60,0.78,0.199,16887,13165,3358,0.786,0.205,19155,15062,3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29003,Andrew County,MO,MO,Andrew,61,0.729,0.224,9140,6665,2045,0.742,0.241,9775,7256,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48003,Andrews County,TX,TX,Andrews,62,0.797,0.17,4926,3925,836,0.843,0.145,5856,4937,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001,Androscoggin County,ME,ME,Androscoggin,63,0.509,0.415,55340,28189,22975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48005,Angelina County,TX,TX,Angelina,64,0.725,0.252,29870,21666,7538,0.724,0.264,34628,25070,9136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24003,Anne Arundel County,MD,MD,Anne Arundel,65,0.471,0.478,242939,114509,116074,0.42,0.559,293582,123337,164255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27003,Anoka County,MN,MN,Anoka,66,0.507,0.41,184084,93341,75499,0.498,0.479,210491,104903,100892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37007,Anson County,NC,NC,Anson,67,0.431,0.557,10394,4480,5785,0.476,0.518,11183,5321,5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31003,Antelope County,NE,NE,Antelope,68,0.844,0.118,3220,2717,381,0.863,0.126,3583,3093,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26009,Antrim County,MI,MI,Antrim,69,0.624,0.328,13572,8469,4448,0.564,0.42,17347,9783,7289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,Apache County,AZ,AZ,Apache,70,0.285,0.654,18659,5315,12196,0.327,0.661,34397,11240,22730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
